"category","month_year","volume_product","sales_product"
moveis_escritorio,"05-2018",105,21005.86
beleza_saude,"06-2017",260,32029.39
malas_acessorios,"06-2018",36,5070.88
moveis_sala,"07-2018",55,6779.63
cama_mesa_banho,"06-2017",382,35114.81
eletroportateis,"05-2018",48,10620.99
consoles_games,"07-2018",49,8519.11
pet_shop,"02-2018",102,9595.03
papelaria,"07-2018",191,17247.09
eletrodomesticos,"02-2018",49,5583.74
beleza_saude,"01-2017",85,12561.32
"","04-2017",72,8742.99
moveis_sala,"07-2017",31,4395.12
brinquedos,"03-2017",103,12429.47
cool_stuff,"03-2017",123,21095.21
pet_shop,"08-2018",199,24857.07
bebes,"10-2016",14,1630.16
malas_acessorios,"03-2018",57,5911.77
brinquedos,"08-2017",184,18126.87
instrumentos_musicais,"11-2017",49,16509.9
cama_mesa_banho,"08-2017",512,57137.23
casa_construcao,"08-2018",49,7016.16
fashion_underwear_e_moda_praia,"03-2017",6,394.14
ferramentas_jardim,"07-2017",190,20067.05
informatica_acessorios,"09-2017",253,28930.98
market_place,"10-2017",11,1019.54
livros_tecnicos,"11-2017",6,768.9
perfumaria,"08-2017",128,13142.09
fashion_bolsas_e_acessorios,"03-2018",139,10261.58
consoles_games,"03-2018",58,11858.72
brinquedos,"02-2017",67,9403.34
climatizacao,"11-2017",19,4076.62
ferramentas_jardim,"08-2017",238,24269.4
ferramentas_jardim,"10-2017",281,25978.74
casa_construcao,"12-2017",39,6735.3
construcao_ferramentas_construcao,"08-2018",162,22917.16
bebidas,"08-2017",2,119.9
papelaria,"03-2017",56,5902.62
cama_mesa_banho,"02-2018",690,60690.88
eletronicos,"06-2017",42,2100.04
eletrodomesticos_2,"08-2017",17,4004.55
construcao_ferramentas_jardim,"02-2018",20,1538.25
moveis_escritorio,"02-2018",109,17774.78
moveis_escritorio,"03-2017",78,11783.51
fashion_underwear_e_moda_praia,"08-2017",13,1111.0
brinquedos,"02-2018",147,14863.83
climatizacao,"01-2018",29,4674.74
alimentos,"03-2018",35,1559.9
ferramentas_jardim,"09-2017",225,22507.23
consoles_games,"06-2018",43,6903.01
malas_acessorios,"02-2018",47,6604.35
"","08-2018",32,2419.04
construcao_ferramentas_iluminacao,"08-2018",62,8212.53
fashion_calcados,"05-2017",22,1669.54
perfumaria,"02-2018",215,20632.7
eletroportateis,"02-2018",32,5245.16
casa_conforto,"07-2018",24,2984.38
construcao_ferramentas_construcao,"12-2017",27,5830.35
livros_interesse_geral,"04-2018",50,6295.51
artigos_de_festas,"08-2018",14,1285.29
pet_shop,"09-2017",71,8534.92
alimentos,"03-2017",24,2667.56
fashion_bolsas_e_acessorios,"04-2018",107,9030.85
artes,"01-2018",19,2540.77
pet_shop,"04-2017",51,6182.89
construcao_ferramentas_construcao,"01-2018",49,10963.18
malas_acessorios,"06-2017",61,8232.09
cama_mesa_banho,"04-2017",274,24347.69
telefonia,"08-2017",136,10930.29
ferramentas_jardim,"04-2018",288,35037.64
instrumentos_musicais,"06-2018",47,16177.92
pet_shop,"12-2017",74,7227.23
casa_conforto,"08-2017",28,4000.19
bebidas,"04-2018",54,5016.44
telefonia,"07-2017",144,9064.86
tablets_impressao_imagem,"07-2017",2,198.0
pet_shop,"03-2018",124,13643.69
bebidas,"03-2017",5,463.87
esporte_lazer,"05-2017",317,36200.4
ferramentas_jardim,"02-2018",298,26946.13
eletroportateis,"03-2018",37,14260.15
telefonia,"05-2017",224,9264.1
audio,"09-2017",10,1042.59
tablets_impressao_imagem,"08-2017",6,450.89
climatizacao,"04-2017",16,2582.23
relogios_presentes,"03-2017",81,26770.38
eletroportateis,"03-2017",31,11171.06
casa_construcao,"03-2018",44,5639.51
telefonia,"06-2017",160,6757.62
moveis_decoracao,"04-2017",203,21690.42
bebes,"06-2017",78,7864.74
moveis_escritorio,"08-2017",58,9877.36
consoles_games,"11-2017",134,12608.88
ferramentas_jardim,"11-2017",550,45972.18
perfumaria,"09-2017",160,14744.87
informatica_acessorios,"03-2017",174,28624.6
ferramentas_jardim,"08-2018",138,16432.34
perfumaria,"07-2017",126,12910.02
sinalizacao_e_seguranca,"08-2018",22,1825.59
eletroportateis,"07-2017",34,4621.36
automotivo,"11-2017",263,34955.38
eletronicos,"02-2018",334,14830.0
climatizacao,"02-2018",12,2626.89
fashion_roupa_feminina,"06-2017",3,154.8
papelaria,"04-2018",155,11701.35
"","02-2017",58,9034.1
instrumentos_musicais,"12-2017",42,10823.5
"","11-2017",122,14115.98
livros_tecnicos,"08-2018",29,1483.79
eletrodomesticos,"06-2017",43,2507.19
bebes,"05-2018",245,34003.6
casa_construcao,"01-2018",42,5827.58
alimentos,"07-2017",7,584.16
fashion_calcados,"12-2017",13,1099.0
automotivo,"03-2017",87,14482.07
pet_shop,"04-2018",170,18778.3
pet_shop,"02-2017",40,3729.07
consoles_games,"10-2017",109,10608.87
pet_shop,"10-2017",76,8243.58
livros_interesse_geral,"06-2017",21,1940.08
fashion_bolsas_e_acessorios,"01-2018",125,7931.72
construcao_ferramentas_construcao,"05-2018",125,20748.6
fashion_bolsas_e_acessorios,"05-2018",111,11519.16
consoles_games,"12-2017",93,9075.01
artigos_de_festas,"06-2018",2,84.8
livros_interesse_geral,"08-2018",36,1564.78
tablets_impressao_imagem,"06-2017",6,594.0
perfumaria,"01-2018",229,20036.89
musica,"08-2018",6,497.81
telefonia_fixa,"06-2018",17,2080.32
automotivo,"04-2017",88,15548.17
livros_tecnicos,"02-2018",26,1411.21
cool_stuff,"06-2018",103,19316.37
construcao_ferramentas_seguranca,"03-2018",22,5374.87
utilidades_domesticas,"01-2017",28,2827.58
eletronicos,"05-2017",68,6709.11
alimentos_bebidas,"01-2018",11,341.17
consoles_games,"07-2017",48,5680.16
eletrodomesticos,"12-2017",16,1331.0
"","10-2017",73,18800.48
moveis_escritorio,"07-2018",82,13775.27
alimentos,"08-2017",8,364.5
fashion_underwear_e_moda_praia,"11-2017",10,1221.6
pet_shop,"05-2017",73,8151.02
"","09-2017",74,5904.14
telefonia,"04-2017",145,7245.87
"","05-2017",96,10961.94
papelaria,"04-2017",36,4606.34
fashion_bolsas_e_acessorios,"12-2017",135,10028.46
moveis_sala,"04-2018",34,5133.73
casa_conforto,"03-2017",13,2123.4
fashion_roupa_masculina,"06-2018",7,447.8
papelaria,"08-2018",172,15752.55
sinalizacao_e_seguranca,"04-2018",36,2222.3
eletroportateis,"10-2017",32,6464.85
perfumaria,"02-2017",51,8127.18
fashion_bolsas_e_acessorios,"06-2017",83,6831.03
fashion_bolsas_e_acessorios,"02-2018",107,9786.63
automotivo,"05-2017",126,18700.02
alimentos_bebidas,"02-2018",24,1059.1
"","07-2017",61,3124.66
tablets_impressao_imagem,"05-2017",7,1514.98
